(-8.64175e-022,0)
(-2.07944e-007,0)
(-4.80141e-007,0)
(-8.04456e-007,0)
(-1.16345e-006,0)
(-1.53515e-006,0)
(-1.89422e-006,0)
(-2.21336e-006,0)
(-2.46498e-006,0)
(-2.62302e-006,0)
(-2.66476e-006,0)
(-2.57253e-006,0)
(-2.33526e-006,0)
(-1.94965e-006,0)
(-1.421e-006,0)
(-7.63508e-007,0)
(4.38694e-021,0)
(1.04674e-006,0)
(2.19575e-006,0)
(3.39282e-006,0)
(4.57592e-006,0)
(5.67837e-006,0)
(6.63265e-006,0)
(7.37447e-006,0)
(7.84684e-006,0)
(8.00401e-006,0)
(7.81491e-006,0)
(7.26589e-006,0)
(6.36256e-006,0)
(5.1305e-006,0)
(3.61488e-006,0)
(1.87871e-006,0)
(-8.55619e-021,0)
(-2.14012e-006,0)
(-4.30272e-006,0)
(-6.3797e-006,0)
(-8.26277e-006,0)
(-9.85005e-006,0)
(-1.10525e-005,0)
(-1.18002e-005,0)
(-1.20474e-005,0)
(-1.17764e-005,0)
(-1.1e-005,0)
(-9.76215e-006,0)
(-8.13611e-006,0)
(-6.22121e-006,0)
(-4.13727e-006,0)
(-2.0175e-006,0)
(6.82784e-021,0)
(1.57369e-006,0)
(2.72784e-006,0)
(3.37878e-006,0)
(3.48024e-006,0)
(3.02948e-006,0)
(2.07093e-006,0)
(6.96899e-007,0)
(-9.54968e-007,0)
(-2.70755e-006,0)
(-4.35337e-006,0)
(-5.66661e-006,0)
(-6.41767e-006,0)
(-6.38934e-006,0)
(-5.39396e-006,0)
(-3.29043e-006,0)
(8.96501e-021,0)
(4.27219e-006,0)
(9.58646e-006,0)
(1.57794e-005,0)
(2.26e-005,0)
(2.97132e-005,0)
(3.67097e-005,0)
(4.31209e-005,0)
(4.8439e-005,0)
(5.21422e-005,0)
(5.37236e-005,0)
(5.27219e-005,0)
(4.87543e-005,0)
(4.15478e-005,0)
(3.09688e-005,0)
(1.70481e-005,0)
(-3.81555e-020,0)
(-1.99742e-005,0)
(-4.21239e-005,0)
(-6.56396e-005,0)
(-8.95345e-005,0)
(-0.000112673,0)
(-0.000133813,0)
(-0.000151652,0)
(-0.000164888,0)
(-0.000172283,0)
(-0.000172729,0)
(-0.000165315,0)
(-0.000149395,0)
(-0.000124648,0)
(-9.11203e-005,0)
(-4.92734e-005,0)
(2.35393e-019,0)
(5.51607e-005,0)
(0.000114596,0)
(0.000176169,0)
(0.000237411,0)
(0.000295589,0)
(0.000347797,0)
(0.000391057,0)
(0.00042243,0)
(0.00043914,0)
(0.000438694,0)
(0.000419005,0)
(0.000378499,0)
(0.00031622,0)
(0.00023191,0)
(0.000126071,0)
(3.41745e-019,0)
(-0.000144414,0)
(-0.000304149,0)
(-0.000475589,0)
(-0.000654471,0)
(-0.000835995,0)
(-0.00101496,0)
(-0.00118594,0)
(-0.00134342,0)
(-0.00148202,0)
(-0.00159669,0)
(-0.00168284,0)
(-0.00173658,0)
(-0.00175484,0)
(-0.00173552,0)
(-0.00167758,0)
(-0.00158114,0)
(-0.00144768,0)
(-0.00127951,0)
(-0.0010802,0)
(-0.000854323,0)
(-0.000607387,0)
(-0.000345638,0)
(-7.58936e-005,0)
(0.000194666,0)
(0.000458715,0)
(0.000709015,0)
(0.000938631,0)
(0.00114116,0)
(0.00131092,0)
(0.00144313,0)
(0.00153406,0)
(0.00158114,0)
(0.00158283,0)
(0.00153919,0)
(0.00145143,0)
(0.00132194,0)
(0.00115424,0)
(0.000952838,0)
(0.000723067,0)
(0.000470919,0)
(0.000202829,0)
(-7.45261e-005,0)
(-0.000354446,0)
(-0.000630411,0)
(-0.000896281,0)
(-0.00114647,0)
(-0.00137611,0)
(-0.00158114,0)
(-0.00175866,0)
(-0.00190637,0)
(-0.00202311,0)
(-0.00210871,0)
(-0.0021639,0)
(-0.00219028,0)
(-0.0021902,0)
(-0.00216662,0)
(-0.002123,0)
(-0.00206315,0)
(-0.00199103,0)
(-0.00191067,0)
(-0.001826,0)
(-0.00174069,0)
(-0.0016581,0)
(-0.00158114,0)
(-0.00151243,0)
(-0.0014537,0)
(-0.00140623,0)
(-0.00137073,0)
(-0.00134739,0)
(-0.00133584,0)
(-0.00133533,0)
(-0.0013447,0)
(-0.0013625,0)
(-0.00138711,0)
(-0.00141675,0)
(-0.00144964,0)
(-0.00148406,0)
(-0.00151837,0)
(-0.00155113,0)
(-0.00158114,0)
(-0.00160762,0)
(-0.00162975,0)
(-0.00164709,0)
(-0.00165948,0)
(-0.00166698,0)
(-0.00166988,0)
(-0.00166863,0)
(-0.00166384,0)
(-0.00165618,0)
(-0.00164639,0)
(-0.00163522,0)
(-0.00162338,0)
(-0.00161154,0)
(-0.00160026,0)
(-0.00159001,0)
(-0.00158114,0)
(-0.00157409,0)
(-0.00156884,0)
(-0.00156537,0)
(-0.00156358,0)
(-0.00156328,0)
(-0.00156422,0)
(-0.00156609,0)
(-0.00156859,0)
(-0.0015714,0)
(-0.00157424,0)
(-0.00157684,0)
(-0.00157899,0)
(-0.00158056,0)
(-0.00158145,0)
(-0.00158163,0)
(-0.00158114,0)
(-0.00158026,0)
(-0.00157898,0)
(-0.00157743,0)
(-0.00157577,0)
(-0.00157416,0)
(-0.00157274,0)
(-0.00157164,0)
(-0.00157095,0)
(-0.00157074,0)
(-0.00157104,0)
(-0.00157185,0)
(-0.00157312,0)
(-0.00157478,0)
(-0.00157675,0)
(-0.00157891,0)
(-0.00158114,0)
(-0.00158353,0)
(-0.00158583,0)
(-0.00158792,0)
(-0.00158971,0)
(-0.00159112,0)
(-0.00159208,0)
(-0.00159257,0)
(-0.00159258,0)
(-0.00159213,0)
(-0.00159126,0)
(-0.00159001,0)
(-0.00158848,0)
(-0.00158674,0)
(-0.00158487,0)
(-0.00158298,0)
(-0.00158114,0)
(-0.00157977,0)
(-0.0015786,0)
(-0.00157766,0)
(-0.00157699,0)
(-0.00157658,0)
(-0.00157645,0)
(-0.00157656,0)
(-0.00157689,0)
(-0.00157738,0)
(-0.00157799,0)
(-0.00157866,0)
(-0.00157933,0)
(-0.00157995,0)
(-0.00158048,0)
(-0.00158089,0)
(-0.00158114,0)
(-0.0015813,0)
(-0.00158144,0)
(-0.00158156,0)
(-0.00158166,0)
(-0.00158173,0)
(-0.00158178,0)
(-0.00158181,0)
(-0.00158182,0)
(-0.00158181,0)
(-0.00158178,0)
(-0.00158173,0)
(-0.00158166,0)
(-0.00158156,0)
(-0.00158144,0)
(-0.0015813,0)
(-0.00158114,0)
(-0.0015813,0)
(-0.00158144,0)
(-0.00158156,0)
(-0.00158166,0)
(-0.00158173,0)
(-0.00158178,0)
(-0.00158181,0)
(-0.00158182,0)
(-0.00158181,0)
(-0.00158178,0)
(-0.00158173,0)
(-0.00158166,0)
(-0.00158156,0)
(-0.00158144,0)
(-0.0015813,0)
(-0.00158114,0)
(-0.0015813,0)
(-0.00158144,0)
(-0.00158156,0)
(-0.00158166,0)
(-0.00158173,0)
(-0.00158178,0)
(-0.00158181,0)
(-0.00158182,0)
(-0.00158181,0)
(-0.00158178,0)
(-0.00158173,0)
(-0.00158166,0)
(-0.00158156,0)
(-0.00158144,0)
(-0.0015813,0)
