2.05052e-09	4.39773e-13
3.24986e-09	4.43279e-13
5.15069e-09	4.50958e-13
8.16329e-09	4.39857e-13
1.29379e-08	4.8887e-13
2.05052e-08	4.38477e-13
3.24986e-08	4.03765e-13
5.15069e-08	4.65446e-13
8.16329e-08	4.75312e-13
1.29379e-07	4.44032e-13
2.05052e-07	4.32832e-13
3.24986e-07	4.30218e-13
5.15069e-07	4.83191e-13
8.16329e-07	4.84617e-13
1.29379e-06	4.89003e-13
2.05052e-06	4.69291e-13
3.24986e-06	4.3849e-13
5.15069e-06	4.61562e-13
8.16329e-06	5.4022e-13
1.29379e-05	4.63015e-13
2.05052e-05	4.70456e-13
3.24986e-05	4.41269e-13
5.15069e-05	4.68914e-13
8.16329e-05	5.2073e-13
0.000129379	6.25566e-13
0.000205052	6.55072e-13
0.000324986	8.40274e-13
0.000515069	9.81558e-13
0.000816329	1.39599e-12
0.00129379	1.68735e-12
0.00205052	2.57135e-12
0.00324986	3.92239e-12
0.00515069	6.09271e-12
0.00816329	9.21451e-12
0.0129379	1.29474e-11
0.0205052	2.18738e-11
0.0324986	3.5161e-11
0.0515069	4.98817e-11
0.0816329	7.76158e-11
0.129379	1.2001e-10
0.205052	2.06465e-10
